tf_adjusted_match_prob,match_probability,source_dataset_l,unique_id_l,source_dataset_r,unique_id_r,name_l,name_r,gamma_name,address_l,address_r,gamma_address,city_l,city_r,gamma_city,state_l,state_r,gamma_state,match_key
0.742173561,0.742173561,ndar,24,ndar,8271,richardson baker champion,the surgeon group,0,1446 Jones Dairy Rd,1450 Jones Dairy Rd,1,Jasper,Jasper,1,AL,AL,1,1
0.742173561,0.742173561,ndar,391,ndar,9114,suburban ear nose throat asc,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,391,ndar,4103,suburban ear nose throat asc,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,641,ndar,8870,sinai samaritan clinic,milwaukee heart specialist,0,950 N 12th St,960 N 12th St,1,Milwaukee,Milwaukee,1,WI,WI,1,1
0.742173561,0.742173561,ndar,714,ndar,9114,fahey medical center,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,853,ndar,8893,martin health physician group,waters edge dermatology,0,3496 NW Federal Hwy,3498 NW Federal Hwy,1,Jensen Beach,Jensen Beach,1,FL,FL,1,1
3.52E-19,2.01E-12,ndar,1172,ndar,1208,central utah foot clinic,central utah foot clinic,2,1248 E 90 N,120 N 1220 E,0,American Fork,American Fork,1,UT,UT,1,1
0.742173561,0.742173561,ndar,1316,ndar,9114,womens's healthfirst,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,1316,ndar,4103,womens's healthfirst,center for sports orthopedics,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
0.742173561,0.742173561,ndar,1467,ndar,9114,northwest oncology/hematology,mack eye center,0,1555 Barrington Rd,1585 Barrington Rd,1,Hoffman Estates,Hoffman Estates,1,IL,IL,1,1
